Distance;ShortName1;Time1;Speed1;Stroke1;ShortName2;Time2;Speed2;Stroke2;ShortName3;Time3;Speed3;Stroke3;ShortName4;Time4;Speed4;Stroke4;ShortName5;Time5;Speed5;Stroke5;ShortName6;Time6;Speed6;Stroke6;
525;USA2;01:41.260;5.0;36.0;GBR1;01:38.393;5.2;37.0;AUS2;01:38.543;5.1;37.0;IRL1;01:41.411;5.0;39.0;ITA1;01:40.587;5.0;40.0;;00:00.000;0.0;0.0
530;USA2;01:42.253;5.0;36.0;GBR1;01:39.372;5.2;37.0;AUS2;01:39.510;5.2;37.0;IRL1;01:42.314;5.1;39.0;ITA1;01:41.592;5.1;40.0;;00:00.000;0.0;0.0
535;USA2;01:43.200;5.0;36.0;GBR1;01:40.369;5.2;37.0;AUS2;01:40.421;5.2;37.0;IRL1;01:43.340;5.1;39.0;ITA1;01:42.486;5.1;40.0;;00:00.000;0.0;0.0
540;USA2;01:44.268;5.0;36.0;GBR1;01:41.235;5.2;37.0;AUS2;01:41.468;5.2;37.0;IRL1;01:44.341;5.1;39.0;ITA1;01:43.561;5.1;40.0;;00:00.000;0.0;0.0
545;USA2;01:45.152;5.0;36.0;GBR1;01:42.298;5.2;37.0;AUS2;01:42.343;5.2;37.0;IRL1;01:45.214;5.1;39.0;ITA1;01:44.561;5.1;40.0;;00:00.000;0.0;0.0
550;USA2;01:46.239;5.0;36.0;GBR1;01:43.197;5.2;37.0;AUS2;01:43.380;5.2;37.0;IRL1;01:46.275;5.1;39.0;ITA1;01:45.462;5.1;40.0;;00:00.000;0.0;0.0
555;USA2;01:47.245;5.0;36.0;GBR1;01:44.189;5.2;37.0;AUS2;01:44.377;5.2;37.0;IRL1;01:47.266;5.1;39.0;ITA1;01:46.542;5.0;40.0;;00:00.000;0.0;0.0
560;USA2;01:48.195;5.0;36.0;GBR1;01:45.185;5.2;37.0;AUS2;01:45.270;5.1;37.0;IRL1;01:48.177;5.1;39.0;ITA1;01:47.537;5.0;40.0;;00:00.000;0.0;0.0
565;USA2;01:49.278;5.0;36.0;GBR1;01:46.055;5.2;37.0;AUS2;01:46.324;5.1;37.0;IRL1;01:49.239;5.1;39.0;ITA1;01:48.468;5.0;40.0;;00:00.000;0.0;0.0
570;USA2;01:50.171;5.0;36.0;GBR1;01:47.102;5.2;37.0;AUS2;01:47.220;5.1;37.0;IRL1;01:50.181;5.1;39.0;ITA1;01:49.541;5.0;39.0;;00:00.000;0.0;0.0
575;USA2;01:51.266;5.0;36.0;GBR1;01:47.960;5.2;37.0;AUS2;01:48.232;5.1;37.0;IRL1;01:51.180;5.1;39.0;ITA1;01:50.525;5.0;39.0;;00:00.000;0.0;0.0
580;USA2;01:52.286;5.0;36.0;GBR1;01:49.002;5.2;37.0;AUS2;01:49.244;5.1;37.0;IRL1;01:52.196;5.1;39.0;ITA1;01:51.468;5.0;39.0;;00:00.000;0.0;0.0
585;USA2;01:53.233;4.9;36.0;GBR1;01:49.965;5.2;37.0;AUS2;01:50.139;5.1;37.0;IRL1;01:53.066;5.1;39.0;ITA1;01:52.534;5.0;39.0;;00:00.000;0.0;0.0
590;USA2;01:54.329;4.9;36.0;GBR1;01:50.880;5.2;37.0;AUS2;01:51.190;5.1;37.0;IRL1;01:54.121;5.1;39.0;ITA1;01:53.481;5.0;39.0;;00:00.000;0.0;0.0
595;USA2;01:55.232;4.9;36.0;GBR1;01:51.917;5.2;37.0;AUS2;01:52.094;5.1;37.0;IRL1;01:55.127;5.1;39.0;ITA1;01:54.458;5.0;39.0;;00:00.000;0.0;0.0
